,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line971,"Lull'd in her Lap, amidst a Train of Loves,",By long Religion kept: there bend your Feet;,,"Which is the worst, didst thou in Death pretend","And why, ah why, the wish'd Embrace deny'd!",To set before your sight your glorious Race.,"But Flocks of Fowl, that when the Tempests roar,","The Danes unconquer'd Offspring, march behind;","Soon shifts his weary Side, and scarce awake,",And push'd the Vessel o're the swelling Tide.,"And Death with Honour, sought on either side.",And conscious Worth lay lab'ring in his Thought;
line972,She gently bears him to her blissful Groves:,And in divided Parties let us meet.,,"To scorn thy Sister, or delude thy Friend!","He said, and rose: as holy Zeal inspires","That this presaging Joy may fire your Mind,",With their hoarse gabling seek the silent Shoar.,"And Morini, the last of Human Kind.",With Wonder feels the weight press lighter on his Back.,"At length she lands him on his Native Shores,","Resistless through the War, Camilla rode;",And Love by Jealousie to Madness wrought.
line973,"Then with a Wreath of Myrtle crowns his Head,","Our Country Gods, the Relicks, and the Bands,",,"Thy summon'd Sister, and thy Friend had come:","He rakes hot Embers, and renews the Fires.",To seek the Shores by Destiny design'd.,"Then Clausus came, who led a num'rous Band","These Figures, on the Shield divinely wrought,",The Warrior God the Latian Troops inspir'd;,And to his Father's longing Arms restores.,"In Danger unappall'd, and pleas'd with Blood.",By slow degrees his Reason drove away
line974,And softly lays him on a flow'ry Bed.,"Hold you, my Father, in your guiltless Hands:",,"One Sword had serv'd us both, one common Tomb.","His Country Gods and Vesta, then adores","O Father, can it be, that Souls sublime,","Of Troops embody'd, from the Sabine Land:","By Vulcan labour'd, and by Venus brought,","New strung their Sinews, and their Courage fir'd:","Mean time, by Jove's Impulse, Mezentius arm'd:",One side was bare for her exerted Brest;,"The Mists of Passion, and resum'd her Sway."
line975,"Cupid mean time assum'd his Form and Face,","In me 'tis impious holy things to bear,",,"Was I to raise the Pile, the Pow'rs invoke,",With Cakes and Incense; and their Aid implores.,Return to visit our Terrestrial Clime?,"And in himself alone, an Army brought,",With Joy and Wonder fill the Hero's thought.,But chills the Trojan Hearts with cold Affright;,Succeeding Turnus; with his ardour warm'd,One Shoulder with her painted Quiver press'd.,"Then, rising on his Car, he turn'd his Look;"
line976,Foll'wing Achates with a shorter Pace;,"Red as I am with Slaughter, new from War:",,Not to be present at the fatal Stroke?,"Next, for his Friends, and Royal Host he sent,","And that the Gen'rous Mind, releas'd by Death,",'Twas he the noble Claudian Race begot:,"Unknown the Names, he yet admires the Grace;",Then black Despair precipitates their Flight.,"His fainting Friends, reproach'd their shameful flight,",Now from afar her Fatal Jav'lins play;,And saw the Town involv'd in Fire and Smoke.
line977,"And brought the Gifts. The Queen, already sate",'Till in some living Stream I cleanse the Guilt,,At once thou hast destroy'd thy self and me;,"Reveal'd his Vision and the Gods intent,","Can Covet lazy Limbs, and Mortal Breath?","The Claudian Race, ordain'd, in times to come,","And bears aloft the Fame, and Fortune of his Race.","When Pandarus beheld his Brother kill'd,","Repell'd the Victors, and renew'd the Fight.",Now with her Axe's edge she hews her Way:,"A wooden Tow'r with Flames already blaz'd,"
line978,"Amidst the Trojan Lords, in shining State,","Of dire Debate, and Blood in Battel spilt.",,"Thy Town, thy Senate, and thy Colony!","With his own Purpose: All, without delay,","Anchises then, in order, thus begun",To share the Greatness of Imperial Rome.,,"The Town with Fear, and wild Confusion fill'd,","Against their King the Tuscan Troops conspire,",Diana's Arms upon her Shoulder found;,Which his own Hands on Beams and Rafters rais'd:
line979,High on a Golden Bed: Her Princely Guest,"Thus, ord'ring all that Prudence cou'd provide,",,"Bring Water, bathe the Wound; while I in death","The Will of Jove, and his Desires obey.",To clear those Wonders to his Godlike Son.,"He led the Cures forth of old Renown,",,He turns the Hindges of the heavy Gate,"Such is their Hate, and such their fierce desire","And when, too closely press'd, she quits the Ground;",And Bridges laid above to join the Space;
line980,"Was next her side, in order sate the rest.",I cloath my Shoulders with a Lion's Hide;,,Lay close my Lips to hers; and catch the flying Breath.,"They list with Women each degenerate Name,","Know first, that Heav'n, and Earth's compacted Frame,",Mutuscans from their Olive-bearing Town;,,With both his Hands; and adds his Shoulders to the weight.,"Of wish'd Revenge: On him, and him alone,",From her bent Bow she sends a backward Wound.,And Wheels below to rowl from place to place.
line981,Then Canisters with Bread are heap'd on high;,"And yellow Spoils: Then, on my bending Back,",,"This said, she mounts the Pile with eager haste;","Who dares not hazard Life, for future Fame.","And flowing Waters, and the starry Flame,",And all th' Eretian Pow'rs: Besides a Band,,"Some happier Friends, within the Walls inclos'd;","All Hands employ'd, and all their Darts are thrown.","Her Maids, in Martial Pomp, on either side,","Sister, the Fates have vanquish'd: Let us go"
line982,Th' Attendants Water for their Hands supply;,The welcome load of my dear Father take.,,And in her Arms the gasping Queen embrac'd:,"These they cashier; the brave remaining few,","And both the Radiant Lights, one Common Soul",That follow'd from Velinum's dewy Land:,,"The rest shut out, to certain Death expos'd.","He, like a solid Rock by Seas inclos'd,","Larina, Tulla, fierce Tarpeia ride;",The way which Heav'n and my hard Fortune show.
line983,"And having wash'd, with silken Towels dry.","While on my better Hand Ascanius hung,",,Her Temples chaf'd; and her own Garments tore,"Oars, Banks, and Cables half consum'd renew.","Inspires, and feeds, and animates the whole.","And Amiternian Troops, of mighty Fame,",,"Fool as he was, and frantick in his Care,",To raging Winds and roaring Waves oppos'd;,"Italians all: in Peace, their Queen's delight:",The Fight is fix'd: Nor shall the branded Name
line984,Next fifty Handmaids in long order bore,And with unequal Paces tript along.,,"To stanch the streaming Blood, and cleanse the Gore.",The Prince designs a City with the Plough;,"This Active Mind infus'd through all the Space,","And Mountaineers, that from Severus came.",,"T' admit young Turnus, and include the War.","From his proud Summit looking down, disdains",In War the bold Companions of the Fight.,Of a base Coward blot your Brother's Fame.
line985,"The Censers, and with Fumes the Gods adore.",Creusa kept behind: by choice we stray,,"Thrice Dido try'd to raise her drooping Head,",The Lots their sev'ral Tenements allow.,Unites and mingles with the mighty Mass.,"And from the craggy Cliffs of Tetrica,",,"He thrust amid the Crowd, securely bold;","Their empty Menace, and unmov'd remains.","So march'd the Thracian Amazons of old,",Death is my choice; but suffer me to try
line986,"Then Youths, and Virgins twice as many, join",Through ev'ry dark and ev'ry devious Way.,,"And fainting thrice, fell grov'ling on the Bed.","This part is nam'd from Ilium, that from Troy;",Hence Men and Beasts the Breath of Life obtain;,"And those where yellow Tyber takes his way,",,Like a fierce Tyger pent amid the Fold.,"Beneath his Feet fell haughty Hebrus dead,",When Thermodon with bloody Billows rowl'd:,"My Force, and vent my Rage before I dye."
line987,"To place the Dishes, and to serve the Wine.","I, who so bold and dauntless just before,",,"Thrice op'd her heavy Eyes, and sought the Light,",And the new King ascends the Throme with Joy.,"And Birds of Air, and Monsters of the Main.",And where Himella's wanton Waters play.,,Too late his blazing Buckler they descry;,Then Latagus; and Palmus as he fled:,Such Troops as these in shining Arms were seen;,"He said, and leaping down without delay,"
line988,"The Tyrian Train, admitted to the Feast,","The Grecian Darts and shock of Lances bore,",,"But having found it, sicken'd at the sight;",A chosen Senate from the People draws;,"Th' Etherial Vigour is in all the same,","Casperia sends her Arms, with those that lye",,And sparkling Fires that shot from either Eye:,"At Latagus a weighty Stone he flung,",When Theseus met in Fight their Maiden Queen.,Thro Crowds of scatter'd Foes he free'd his way.
line989,"Approach, and on the painted Couches rest.",At ev'ry Shadow now am seiz'd with Fear:,,"And clos'd her Lids at last, in endless Night.","Appoints the Judges, and ordains the Laws.",And every Soul is fill'd with equal Flame:,"By Fabaris, and fruitful Foruli:",,"His mighty Members, and his ample Breast,","His Face was flatted, and his Helmet rung.","Such to the Field Penthisilea led,","Striding he pass'd, impetuous as the Wind,"
line990,"All on the Trojan Gifts, with Wonder gaze;","Not for my self, but for the Charge I bear.",,"Then Juno, grieving that she shou'd sustain","Then on the top of Eryx, they begin","As much as Earthy Limbs, and gross allay","The warlike Aids of Horta next appear,",,"His ratt'ling Armour, and his Crimson Crest.","But Palmus from behind receives his Wound,",From the fierce Virgin when the Grecians fled:,And left the grieving Goddess far behind.
line991,But view the beauteous Boy with more amaze.,"Till near the ruin'd Gate arriv'd at last,",,"A Death so ling'ring, and so full of Pain;",To raise a Temple to the Paphian Queen:,"Of Mortal Members, subject to decay,",And the cold Nursians come to close the Reer:,,Far from that hated Face the Trojans fly;,"Hamstring'd he falls, and grovels on the Ground:","With such, return'd Triumphant from the War;","As when a Fragment, from a Mountain torn"
line992,"His Rosy-colour'd Cheeks, his radiant Eyes,","Secure, and deeming all the Danger past;",,"Sent Iris down, to free her from the Strife","Anchises, last, is honour'd as a God,",Blunt not the Beams of Heav'n and edge of Day.,"Mix'd with the Natives born of Latine Blood,",,All but the Fool who sought his Destiny.,"His Crest and Armor from his Body torn,",Her Maids with Cries attend the lofty Carr:,"By raging Tempests, or by Torrents born,"
line993,"His Motions, Voice, and Shape, and all the God's disguise.",A frightful noise of trampling Feet we hear;,,"Of lab'ring Nature, and dissolve her Life.","A Priest is added, annual Gifts bestow'd;","From this course Mixture of Terrestial parts,",Whom Allia washes with her fatal Flood.,,"Mad Pandarus steps forth, with Vengeance vow'd","Thy Shoulders, Lausus, and thy Head adorn.",They clash with manly force their Moony Shields;,"Or sapp'd by time, or loosen'd from the Roots,"
line994,"Nor pass unprais'd the Vest and Veil Divine,","My Father looking through the Shades, with fear,",,"For since she dy'd, not doom'd by Heav'ns Decree,","And Groves are planted round his blest Abode,","Desire, and Fear, by turns possess their Hearts:","Not thicker Billows beat the Lybian Main,",,"For Bitias's Death, and threatens thus aloud.","Evas and Mymas, both of Troy, he slew,",With Female Showts refound the Phrygian Fields.,"Prone thro' the Void the Rocky Ruine shoots,"
line995,Which wand'ring Foliage and rich Flow'rs entwine.,"Cry'd out, haste, haste my Son, the Foes are nigh;",,Or her own Crime; but Human Casualty;,"Nine days they pass in Feasts, their Temples crown'd;","And Grief, and Joy: Nor can the groveling Mind,",When pale Orion sets in wint'ry Rain;,,"These are not Ardea's Walls, nor this the Town",Mymas his Birth from fair Theano drew:,"Who formost, and who last, Heroick Maid,","Rowling from Crag to Crag, from Steep to Steep;"
line996,"But far above the rest, the Royal Dame,","Their Swords, and shining Armour I descry.",,"And rage of Love, that plung'd her in Despair,",And fumes of Incense in the Fanes abound.,"In the dark Dungeon of the Limbs confin'd,","Not thicker Harvests on rich Hermus rise,",,Amata proffers with Lavinia's Crown:,"Born on that fatal Night, when, big with Fire,",On the cold Earth were by thy Courage laid?,"Down sink, at once the Shepherds and their Sheep,"
